"","X","Y"
"AJM",478187.945,2130946.321
"ATI",473345.998,2164688.947
"CAM",482179.778,2152665.441
"CHO",511969.984,2130369.013
"HGM",484020.017,2146380.037
"IZT",487647.001,2143366.999
"MER",487445.009,2147815.053
"MPA",498809.481,2123036.072
"SAG",496818.701,2159801.177
"SFE",472393.007,2140389.973
"TAH",498889.787,2128097.994
"TLA",478535.124,2159383.151
"TLI",481420.683,2167509.22
"VIF",489874.55,2173663.859
"XAL",491355.021,2159031.381
